date,datetime,tickersymbol,price,close,best-bid,best-ask,spread
2026-01-05,2026-01-05 09:00:00.000000,VN30F1M,2032.0,2032.0,2031.9,2032.1,0.1999999999998181
2026-01-05,2026-01-05 09:01:00.000000,VN30F1M,2033.0,2033.0,2032.9,2033.1,0.1999999999998181
2026-01-05,2026-01-05 09:02:00.000000,VN30F1M,2031.4,2031.4,2031.3000000000002,2031.5,0.1999999999998181
2026-01-05,2026-01-05 09:03:00.000000,VN30F1M,2031.3,2031.3,2031.2,2031.3999999999999,0.1999999999998181
2026-01-05,2026-01-05 09:04:00.000000,VN30F1M,2031.3,2031.3,2031.2,2031.3999999999999,0.1999999999998181
2026-01-05,2026-01-05 09:05:00.000000,VN30F1M,2030.8,2030.8,2030.7,2030.8999999999999,0.1999999999998181
2026-01-05,2026-01-05 09:06:00.000000,VN30F1M,2031.6,2031.6,2031.5,2031.6999999999998,0.1999999999998181
2026-01-05,2026-01-05 09:07:00.000000,VN30F1M,2030.7,2030.7,2030.6000000000001,2030.8,0.1999999999998181
2026-01-05,2026-01-05 09:08:00.000000,VN30F1M,2028.8,2028.8,2028.7,2028.8999999999999,0.1999999999998181
2026-01-05,2026-01-05 09:09:00.000000,VN30F1M,2029.4,2029.4,2029.3000000000002,2029.5,0.1999999999998181
2026-01-05,2026-01-05 09:10:00.000000,VN30F1M,2029.1,2029.1,2029.0,2029.1999999999998,0.1999999999998181
2026-01-05,2026-01-05 09:11:00.000000,VN30F1M,2030.3,2030.3,2030.2,2030.3999999999999,0.1999999999998181
2026-01-05,2026-01-05 09:12:00.000000,VN30F1M,2031.5,2031.5,2031.4,2031.6,0.1999999999998181
2026-01-05,2026-01-05 09:13:00.000000,VN30F1M,2030.5,2030.5,2030.4,2030.6,0.1999999999998181
2026-01-05,2026-01-05 09:14:00.000000,VN30F1M,2030.6,2030.6,2030.5,2030.6999999999998,0.1999999999998181
2026-01-05,2026-01-05 09:15:00.000000,VN30F1M,2030.4,2030.4,2030.3000000000002,2030.5,0.1999999999998181
2026-01-05,2026-01-05 09:16:00.000000,VN30F1M,2031.5,2031.5,2031.4,2031.6,0.1999999999998181
2026-01-05,2026-01-05 09:17:00.000000,VN30F1M,2032.9,2032.9,2032.8000000000002,2033.0,0.1999999999998181
2026-01-05,2026-01-05 09:18:00.000000,VN30F1M,2034.8,2034.8,2034.7,2034.8999999999999,0.1999999999998181
